Date,Steps,Calories,Distance,Active Minutes,Floors Climbed,Hours Slept,Times Awake
11/20/2014,9791,2396,4.4,16,4,,
11/21/2014,10446,2329,4.7,10,3,,
11/22/2014,6529,2259,2.9,4,1,,
11/23/2014,11988,2370,5.3,8,1,,
11/24/2014,6517,2335,2.9,0,3,,
11/25/2014,6308,2257,2.8,12,3,,
11/26/2014,3010,2041,1.3,9,3,,
11/27/2014,7024,2406,3.2,7,5,,
11/28/2014,6663,2266,3.0,0,4,,
11/29/2014,8445,2361,3.8,0,15,,
11/30/2014,8445,2469,3.8,3,4,,
12/1/2014,5715,2197,2.5,7,3,,
12/2/2014,6430,2326,2.9,14,4,,
12/3/2014,7776,2440,3.5,22,4,,
12/4/2014,8532,2357,3.8,17,4,,
12/5/2014,7153,2352,3.2,21,9,,
12/6/2014,1524,1859,0.7,3,5,,
12/7/2014,9307,2405,4.1,8,2,,
12/8/2014,9581,2391,4.3,11,1,,
12/9/2014,10479,2529,4.7,37,6,,
